order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO-10259,89,65,2020-04-24,2020-04-27,2020-05-07,45.84,3,15.28
SO-10062,77,93,2023-08-10,,2023-08-21,249.33,3,83.11
SO-10261,80,186,2024-01-20,2024-01-29,2024-02-01,223.2,4,55.8
SO-10262,88,433,2023-04-28,2023-05-06,2023-05-08,174.36,2,87.18
SO-10264,33,172,2024-12-01,2024-12-14,2024-12-21,250.15,1,250.15
SO-10265,63,264,2019-04-21,2019-04-23,2019-04-26,185.08,4,46.27
SO-10267,30,399,2019-03-28,2019-04-03,2019-04-06,321.2,1,321.2
SO-10268,61,300,2023-06-08,2023-06-09,2023-06-15,351.2,2,175.6
SO-10199,93,100,2022-01-08,2022-01-13,2022-01-16,146.34,3,48.78
SO-10272,59,215,2019-12-03,2019-12-16,2019-12-21,836.56,2,418.28
SO-10275,22,296,2024-03-14,2024-03-28,2024-03-31,1919.07,1,1919.07
SO-10277,108,237,2021-02-17,2021-02-18,2021-02-24,168.44,2,84.22
SO-10278,74,460,2018-01-21,2018-01-28,2018-01-28,62.01,1,62.01
SO-10280,62,415,2019-02-06,2019-02-14,2019-02-21,164.9,2,82.45
SO-10281,17,184,2021-04-26,2021-04-30,2021-05-10,2741.83,1,2741.83
SO-10284,96,299,2018-04-10,2018-04-18,2018-04-25,479.5,2,239.75
SO-10286,91,325,2018-01-06,2018-01-20,2018-01-30,210.82,1,210.82
SO-10288,90,485,2024-11-13,2024-11-22,2024-12-01,476.08,2,238.04
SO-10289,66,485,2022-01-30,2022-01-31,2022-02-01,1966.72,4,491.68
SO-10292,91,35,2024-04-15,2024-04-27,2024-04-30,507.16,2,253.58
SO-10295,112,492,2020-05-09,2020-05-22,2020-05-25,245.28,3,81.76
SO-10296,48,177,2023-01-28,2023-02-05,2023-02-13,504.35,5,100.87
SO-10298,58,318,2022-02-16,2022-03-01,2022-03-11,185.46,1,185.46
SO-10299,37,491,2018-11-12,2018-11-14,2018-11-16,481.95,3,160.65
SO-10220,3,151,2022-09-03,2022-09-14,2022-09-22,5629.6,2,2814.8
SO-10303,3,447,2020-08-09,2020-08-23,2020-08-31,8270.97,3,2756.99
SO-10306,86,357,2023-12-12,2023-12-26,2024-01-03,125.56,4,31.39
SO-10308,30,248,2022-03-04,2022-03-09,2022-03-09,669.08,2,334.54
SO-10311,69,147,2020-01-17,2020-01-20,2020-01-30,184.46,2,92.23
SO-10313,34,190,2020-01-26,2020-01-30,2020-02-07,389.54,1,389.54
SO-10314,69,155,2019-05-13,2019-05-14,2019-05-20,451.4,4,112.85
SO-10317,70,500,2023-09-10,2023-09-16,2023-09-26,195.3,3,65.1
SO-10262,86,76,2024-05-04,2024-05-16,2024-05-23,101.4,3,33.8
SO-10322,4,206,2024-12-04,2024-12-18,2024-12-21,14785.96,4,3696.49
SO-10215,29,401,2021-02-12,2021-02-16,2021-02-16,275.91,1,275.91
SO-10250,25,252,2021-07-25,2021-08-04,2021-08-13,1044.95,5,208.99
SO-10329,50,191,2018-02-19,2018-02-24,2018-03-01,302.28,3,100.76
SO-10331,95,213,2022-12-18,2022-12-23,2022-12-25,314.48,4,78.62
SO-10224,27,156,2023-04-29,2023-05-13,2023-05-21,1394.07,3,464.69
SO-10335,35,213,2019-12-18,2019-12-27,2020-01-03,2559.35,5,511.87
SO-10338,63,22,2021-05-21,2021-06-04,2021-06-13,134.46,3,44.82
SO-10339,34,154,2023-04-20,2023-04-22,2023-05-02,1078.5,3,359.5
SO-10340,98,142,2023-07-13,2023-07-15,2023-07-24,622.5,3,207.5
SO-10182,89,419,2019-05-05,2019-05-11,2019-05-19,63.85,5,12.77
SO-10345,18,183,2019-10-31,2019-11-01,2019-11-05,10608.21,3,3536.07
SO-10348,82,480,2018-11-11,2018-11-20,2018-11-23,198.8,2,99.4
SO-10259,106,433,2021-05-18,2021-05-23,2021-06-02,59.82,3,19.94
SO-10352,48,399,2023-06-10,2023-06-17,2023-06-22,158.4,2,79.2
SO-10355,79,354,2023-11-24,2023-12-08,2023-12-16,275.85,5,55.17
SO-10356,105,68,2018-03-13,2018-03-21,2018-03-26,100.02,3,33.34
SO-10359,98,497,2021-11-02,2021-11-05,2021-11-09,218.31,1,218.31
SO-10167,30,158,2019-05-29,2019-06-02,2019-06-04,342.79,1,342.79
SO-10016,6,101,2019-03-18,2019-03-19,2019-03-29,14165.7,5,2833.14
SO-10367,2,387,2019-01-31,2019-02-13,2019-02-14,13978.45,5,2795.69
SO-10368,19,434,2021-02-10,2021-02-20,2021-02-25,5114.94,3,1704.98
SO-10371,9,51,2024-06-26,2024-07-09,2024-07-09,10892.8,5,2178.56
SO-10374,1,499,2019-02-09,2019-02-13,2019-02-21,15566.24,4,3891.56
SO-10253,107,182,2022-04-04,2022-04-11,2022-04-14,686.25,5,137.25
SO-10378,18,254,2022-01-19,2022-01-31,2022-02-04,19478.8,5,3895.76
SO-10380,77,377,2021-07-01,2021-07-12,2021-07-19,178.02,2,89.01
SO-10381,108,411,2023-05-03,2023-05-14,2023-05-19,154.32,2,77.16
SO-10384,85,347,2018-12-15,2018-12-17,2018-12-19,283.28,4,70.82
SO-10385,9,187,2020-03-26,2020-04-01,2020-04-04,13356.25,5,2671.25
SO-10387,36,392,2024-07-11,2024-07-21,2024-07-25,1014.48,4,253.62
SO-10308,36,76,2023-02-06,2023-02-08,2023-02-09,795.69,3,265.23
SO-10057,64,348,2018-04-20,2018-04-23,2018-04-29,508.65,5,101.73
SO-10394,97,267,2023-07-10,2023-07-23,2023-07-30,207.4,2,103.7
SO-10058,70,10,2018-05-10,2018-05-17,2018-05-18,258.32,4,64.58
SO-10400,85,441,2021-05-26,2021-06-07,2021-06-09,286.16,4,71.54
SO-10040,87,252,2024-03-18,2024-03-29,2024-04-06,78.6,5,15.72
SO-10405,76,498,2022-03-28,2022-04-07,2022-04-17,212.85,3,70.95
SO-10406,108,188,2021-11-29,2021-12-12,2021-12-21,99.76,1,99.76
SO-10408,53,180,2018-08-20,2018-08-31,2018-09-03,588.94,2,294.47
SO-10410,15,173,2019-11-27,2019-11-28,2019-12-06,10107.36,3,3369.12
SO-10412,35,11,2023-04-08,2023-04-18,2023-04-18,1360.53,3,453.51
SO-10413,89,346,2020-04-23,2020-04-29,2020-05-06,83.55,5,16.71
SO-10415,26,255,2018-11-05,2018-11-19,2018-11-27,300.2,2,150.1
SO-10416,80,381,2019-01-12,2019-01-24,2019-02-02,52.8,1,52.8
SO-10418,27,178,2018-11-11,2018-11-22,2018-11-26,2977.55,5,595.51
SO-10420,33,320,2023-10-12,,2023-10-30,1286.55,5,257.31
SO-10423,64,110,2023-03-30,2023-04-04,2023-04-14,529.05,5,105.81
SO-10426,81,31,2023-11-10,2023-11-14,2023-11-19,192.48,4,48.12
SO-10428,53,164,2018-09-21,2018-10-02,2018-10-05,1191.52,4,297.88
SO-10429,52,123,2019-04-11,2019-04-14,2019-04-17,240.06,1,240.06
SO-10431,55,332,2018-06-01,2018-06-05,2018-06-07,808.5,3,269.5
SO-10432,83,437,2018-06-22,2018-07-04,2018-07-11,55.5,1,55.5
SO-10433,53,460,2022-01-28,2022-02-08,2022-02-18,311.6,1,311.6
SO-10436,95,257,2019-05-10,2019-05-19,2019-05-29,419.6,5,83.92
SO-10437,77,63,2021-07-07,2021-07-13,2021-07-22,384.88,4,96.22
SO-10438,23,110,2021-01-29,2021-02-06,2021-02-12,1147.95,3,382.65
SO-10439,41,280,2022-10-02,2022-10-10,2022-10-20,1301.02,2,650.51
SO-10199,48,421,2021-06-16,2021-06-17,2021-06-27,385.95,5,77.19
SO-10443,33,283,2022-04-25,2022-04-30,2022-05-10,975.78,3,325.26
SO-10445,50,5,2022-05-29,2022-06-03,2022-06-07,122.86,1,122.86
SO-10446,57,324,2021-07-23,2021-08-05,2021-08-15,2007.64,4,501.91
SO-10448,61,378,2022-08-19,2022-09-02,2022-09-07,869.84,4,217.46
SO-10451,9,181,2022-09-20,,2022-10-08,7092.6,3,2364.2
SO-10454,57,406,2019-07-12,2019-07-13,2019-07-19,955.48,2,477.74
SO-10457,92,497,2019-06-17,2019-07-01,2019-07-10,96.0,4,24.0
SO-10459,23,352,2024-08-26,2024-09-09,2024-09-14,924.9,3,308.3
SO-10462,29,11,2018-04-05,2018-04-14,2018-04-24,1418.9,5,283.78
SO-10465,110,87,2018-07-23,2018-07-30,2018-08-08,791.88,4,197.97
SO-10468,16,8,2023-11-24,2023-12-01,2023-12-08,7466.44,4,1866.61
SO-10470,37,383,2023-07-18,2023-07-25,2023-07-27,821.92,4,205.48
SO-10473,25,215,2020-01-09,2020-01-16,2020-01-18,169.97,1,169.97
SO-10475,75,351,2023-02-20,2023-02-22,2023-02-22,225.68,4,56.42
SO-10478,50,363,2022-09-30,2022-10-12,2022-10-21,277.47,3,92.49
SO-10480,46,311,2024-09-16,2024-09-28,2024-09-28,54.23,1,54.23
SO-10482,17,496,2024-04-10,2024-04-11,2024-04-20,6004.76,2,3002.38
SO-10483,12,163,2023-12-13,2023-12-20,2023-12-22,5708.76,3,1902.92
SO-10485,96,185,2022-10-28,2022-11-02,2022-11-06,1183.15,5,236.63
SO-10248,41,378,2023-07-06,2023-07-19,2023-07-21,3150.65,5,630.13
SO-10487,30,94,2018-05-27,2018-06-04,2018-06-08,750.26,2,375.13
SO-10488,57,183,2024-04-16,2024-04-24,2024-05-01,1601.4,4,400.35
SO-10489,112,146,2020-01-10,2020-01-24,2020-01-26,474.8,5,94.96
SO-10490,68,393,2024-05-26,2024-05-29,2024-06-04,44.1,1,44.1
SO-10446,88,349,2019-05-15,2019-05-22,2019-05-27,470.9,5,94.18
SO-10495,85,246,2023-02-03,2023-02-14,2023-02-18,384.95,5,76.99
SO-10497,42,486,2024-05-20,2024-05-23,2024-05-26,651.16,1,651.16
SO-10028,78,196,2019-01-15,2019-01-22,2019-01-26,121.7,2,60.85
SO-10501,50,400,2022-07-07,2022-07-12,2022-07-22,188.32,2,94.16
SO-10503,88,309,2019-06-22,2019-06-28,2019-07-08,91.56,1,91.56
SO-10505,35,289,2024-09-24,2024-10-01,2024-10-02,2081.96,4,520.49
SO-10446,66,175,2023-03-14,2023-03-25,2023-03-28,1173.58,2,586.79
SO-10508,11,465,2023-05-11,2023-05-16,2023-05-18,8469.32,2,4234.66
SO-10511,7,283,2018-11-10,2018-11-11,2018-11-19,552.95,1,552.95
SO-10513,46,131,2024-07-26,2024-07-28,2024-08-05,51.53,1,51.53
SO-10515,6,43,2022-09-01,2022-09-13,2022-09-17,8483.31,3,2827.77
SO-10443,44,495,2020-02-06,2020-02-10,2020-02-12,125.66,1,125.66
SO-10518,1,203,2019-04-23,2019-04-24,2019-04-26,16065.4,4,4016.35
SO-10521,63,156,2024-12-08,2024-12-22,2024-12-31,143.13,3,47.71
SO-10522,17,70,2018-02-26,2018-03-02,2018-03-03,3466.98,1,3466.98
SO-10523,84,124,2022-11-20,2022-12-04,2022-12-14,140.7,5,28.14
SO-10524,15,86,2019-09-17,2019-09-29,2019-10-06,15732.72,4,3933.18
SO-10527,107,427,2022-05-24,2022-05-25,2022-05-30,131.09,1,131.09
SO-10529,95,297,2024-09-06,2024-09-18,2024-09-26,186.21,3,62.07
SO-10532,105,445,2023-06-22,2023-06-26,2023-06-26,132.2,5,26.44
SO-10170,54,456,2023-04-23,2023-04-25,2023-05-02,1907.5,5,381.5
SO-10538,25,241,2021-11-09,2021-11-17,2021-11-20,828.8,5,165.76
SO-10541,85,240,2019-06-22,2019-06-27,2019-07-03,324.72,4,81.18
SO-10035,80,107,2021-03-02,2021-03-14,2021-03-15,180.16,4,45.04
SO-10544,39,121,2020-05-07,2020-05-16,2020-05-16,499.73,1,499.73
SO-10547,5,414,2018-09-18,2018-09-24,2018-09-30,3481.64,1,3481.64
SO-10549,101,182,2018-07-11,2018-07-24,2018-08-01,417.81,3,139.27
SO-10550,91,26,2022-11-29,2022-12-12,2022-12-19,253.11,1,253.11
SO-10551,106,288,2018-06-21,2018-06-30,2018-07-01,47.9,2,23.95
SO-10553,91,227,2023-09-04,2023-09-12,2023-09-13,459.26,2,229.63
SO-10555,54,394,2018-01-27,2018-01-31,2018-02-07,930.9,3,310.3
SO-10557,47,323,2020-10-02,2020-10-05,2020-10-13,742.6,4,185.65
SO-10220,110,265,2022-01-21,2022-01-22,2022-01-29,417.24,2,208.62
SO-10561,52,396,2019-11-05,2019-11-12,2019-11-12,1136.32,4,284.08
SO-10562,81,366,2023-10-31,2023-11-05,2023-11-11,245.04,4,61.26
SO-10564,45,5,2021-02-19,2021-02-28,2021-03-09,1163.2,2,581.6
SO-10567,84,227,2021-11-15,2021-11-28,2021-12-08,136.52,4,34.13
SO-10569,93,369,2019-06-01,2019-06-10,2019-06-18,151.08,3,50.36
SO-10572,21,12,2018-04-25,2018-05-08,2018-05-16,2692.9,5,538.58
SO-10575,15,375,2018-09-03,2018-09-17,2018-09-22,12405.69,3,4135.23
SO-10576,58,153,2024-06-02,2024-06-14,2024-06-14,782.56,4,195.64
SO-10579,81,341,2023-12-25,2024-01-08,2024-01-17,103.46,2,51.73
SO-10582,18,366,2022-03-27,2022-04-05,2022-04-08,3427.12,1,3427.12
SO-10583,19,365,2022-10-10,2022-10-24,2022-10-30,1662.1,1,1662.1
SO-10584,48,347,2023-11-26,2023-12-03,2023-12-12,458.1,5,91.62
SO-10384,57,353,2023-06-29,2023-07-11,2023-07-17,810.26,2,405.13
SO-10589,111,271,2019-04-29,2019-05-11,2019-05-14,982.68,4,245.67
SO-10590,78,437,2022-08-01,2022-08-03,2022-08-04,204.21,3,68.07
SO-10592,39,151,2023-06-14,2023-06-15,2023-06-17,1145.22,2,572.61
SO-10594,28,94,2023-06-26,2023-06-27,2023-06-28,1675.95,5,335.19
SO-10147,58,461,2021-10-15,2021-10-28,2021-11-03,916.52,4,229.13
SO-10599,98,231,2023-01-14,2023-01-17,2023-01-22,221.97,1,221.97
SO-10601,44,277,2018-07-07,2018-07-18,2018-07-25,365.43,3,121.81
SO-10284,40,288,2019-05-23,2019-06-03,2019-06-11,131.51,1,131.51
SO-10607,25,385,2023-05-04,2023-05-13,2023-05-13,191.96,1,191.96
SO-10608,32,425,2024-07-01,2024-07-09,2024-07-10,1775.95,5,355.19
SO-10047,44,224,2020-01-10,2020-01-17,2020-01-17,546.55,5,109.31
SO-10611,19,94,2020-11-12,2020-11-25,2020-11-26,3593.56,2,1796.78
SO-10613,24,14,2018-08-28,2018-09-02,2018-09-08,139.42,1,139.42
SO-10614,7,104,2020-09-08,2020-09-21,2020-09-30,2517.55,5,503.51
SO-10616,8,163,2023-03-19,2023-03-28,2023-04-03,1803.04,1,1803.04
SO-10618,71,494,2024-07-28,2024-08-08,2024-08-09,186.42,2,93.21
SO-10620,11,434,2023-08-12,2023-08-16,2023-08-18,12139.83,3,4046.61
SO-10623,58,22,2018-01-05,2018-01-19,,961.4,5,192.28
SO-10625,35,307,2020-10-24,2020-11-07,2020-11-17,2198.36,4,549.59
SO-10627,6,83,2023-12-28,2024-01-07,2024-01-08,7140.42,3,2380.14
SO-10629,56,108,2024-11-05,2024-11-14,2024-11-19,249.69,3,83.23
SO-10199,42,175,2020-05-12,2020-05-20,2020-05-29,1496.28,3,498.76
SO-10633,2,345,2019-12-12,2019-12-19,2019-12-27,13439.04,4,3359.76
SO-10634,69,16,2022-12-29,2023-01-09,2023-01-10,359.25,3,119.75
SO-10637,2,64,2023-03-11,2023-03-17,2023-03-20,10388.76,4,2597.19
SO-10640,46,99,2019-01-04,2019-01-18,2019-01-27,194.82,3,64.94
SO-10641,36,253,2024-10-18,2024-10-22,2024-10-22,616.68,2,308.34
SO-10644,64,88,2024-03-10,2024-03-14,2024-03-24,507.55,5,101.51
SO-10406,9,66,2020-11-29,2020-12-09,2020-12-12,12903.95,5,2580.79
SO-10650,33,349,2024-04-13,2024-04-21,2024-04-21,1202.4,4,300.6
SO-10652,109,209,2021-01-27,2021-01-29,2021-02-08,1102.1,5,220.42
SO-10653,7,143,2022-09-17,2022-09-26,2022-10-03,1385.37,3,461.79
SO-10405,95,116,2022-10-02,2022-10-04,2022-10-07,130.24,2,65.12
SO-10656,104,13,2024-08-24,2024-09-06,2024-09-16,354.96,3,118.32
SO-10657,106,171,2023-10-30,2023-11-12,2023-11-15,25.05,1,25.05
SO-10385,16,44,2018-09-06,2018-09-07,2018-09-13,7215.57,3,2405.19
SO-10599,39,313,2022-11-04,2022-11-06,2022-11-07,534.1,1,534.1
SO-10187,111,307,2024-12-30,2024-12-31,2025-01-07,979.72,4,244.93
SO-10664,67,169,2024-08-04,2024-08-08,2024-08-09,315.27,1,315.27
SO-10644,17,327,2023-09-16,2023-09-21,2023-09-26,12952.52,4,3238.13
SO-10432,17,160,2024-07-22,2024-07-29,2024-08-06,9169.95,3,3056.65
SO-10671,44,150,2022-02-19,2022-02-20,2022-02-28,611.3,5,122.26
SO-10674,110,28,2022-09-25,2022-10-01,2022-10-04,400.98,2,200.49
SO-10676,89,355,2023-03-30,2023-04-09,2023-04-14,77.45,5,15.49
SO-10677,59,449,2018-06-22,2018-06-30,2018-07-03,388.18,1,388.18
